,accuracy,precision,recall,f1,roc_auc,train_time
RandomForest,0.8175458809974487,0.8428154631655725,0.7732976409570018,0.8065613820783527,0.9089710670950661,0.5580480098724365
XGBoost,0.8195210270759609,0.8471559633027523,0.7724611008867325,0.808086111840378,0.9104832887368322,0.3707461357116699
LightGBM,0.8189449428030615,0.8435510278333637,0.77580726116781,0.808262157922259,0.9108664929199768,0.7615649700164795
Voting,0.8148300551394947,0.8361897889229659,0.7754726451397022,0.8046875,0.9038058860661149,1.9885149002075195
Stacking,0.8199325158423175,0.8431443579061764,0.7788188054207796,0.8097060358323187,0.910416639229128,12.858622312545776
