,accuracy,precision,recall,f1,roc_auc,train_time,tune_time,type
Stacking,0.8199325158423175,0.8431443579061764,0.7788188054207796,0.8097060358323187,0.910416639229128,12.858622312545776,,Ensemble
LightGBM,0.8189449428030615,0.8435510278333637,0.77580726116781,0.808262157922259,0.9108664929199768,0.7615649700164795,,Ensemble
XGBoost,0.8195210270759609,0.8471559633027523,0.7724611008867325,0.808086111840378,0.9104832887368322,0.3707461357116699,,Ensemble
RandomForest,0.8175458809974487,0.8428154631655725,0.7732976409570018,0.8065613820783527,0.908971067095066,0.5580480098724365,,Ensemble
Voting,0.8148300551394947,0.8361897889229659,0.7754726451397022,0.8046875,0.9038058860661148,1.9885149002075195,,Ensemble
DecisionTree,0.8163114146983788,0.8468234858307094,0.7649322402543082,0.8037974683544303,0.9083791343764096,0.0205490589141845,0.0,Single
KNN,0.8066002798123612,0.8284731026987865,0.765266856282416,0.7956166289789529,0.8923796077383126,0.0176100730895996,0.0,Single
LogisticRegression,0.7530244424327216,0.7666666666666667,0.7157436841224695,0.7403305356061262,0.8250780350700795,0.0783560276031494,0.0,Single
NaiveBayes,0.7385400378569665,0.7475247524752475,0.7073782834197758,0.7268976188429468,0.7958811742388583,0.0047059059143066,0.0,Single
